unix,date,symbol,open,high,low,close,vwap,Volume BTC,Volume USD,tradecount
1608422400,12/20/2020 0:00,BTC/USD,23871.5,23871.5,23427.3,23525.2,23582.8,283.2513938,6663545.69,1595
1608336000,12/19/2020 0:00,BTC/USD,23132.8,24288.2,22800,23871.5,23557.5,6255.127803,149319283.4,35818
1608249600,12/18/2020 0:00,BTC/USD,22811.8,23317.1,22308.2,23130.5,22855.9,6050.937552,139961211,34890
1608163200,12/17/2020 0:00,BTC/USD,21361.7,23751,21264.4,22826.2,22738.6,18993.44181,433548101.6,100070
1608076800,12/16/2020 0:00,BTC/USD,19439.5,21577.4,19302.4,21378.1,20469.2,11843.6788,253195349.7,58238
1607990400,12/15/2020 0:00,BTC/USD,19281,19551.5,19048.9,19439.7,19366.6,5539.351456,107683330.5,26232
1607904000,12/14/2020 0:00,BTC/USD,19163,19342.7,19002,19281.1,19175.4,3153.242141,60797977.04,16796
1607817600,12/13/2020 0:00,BTC/USD,18814.4,19420,18712.6,19164.1,19141.2,4740.411683,90845723.53,23056
1607731200,12/12/2020 0:00,BTC/USD,18031.5,18986.9,18024,18806.9,18555.6,4583.500437,86201434.37,24137
1607644800,12/11/2020 0:00,BTC/USD,18246.4,18285,17572,18031.5,17917.9,6183.564176,111498937.4,32806
1607558400,12/10/2020 0:00,BTC/USD,18548.4,18557.2,17911.1,18245.5,18230.7,4911.090368,89605299.31,26137
1607472000,12/9/2020 0:00,BTC/USD,18313.1,18640,17649.9,18548.5,18215.7,7731.94332,143415950.7,38590
1607385600,12/8/2020 0:00,BTC/USD,19182.5,19300,18120,18320.5,18726.4,6386.018894,116995059.2,34898
1607299200,12/7/2020 0:00,BTC/USD,19385,19440,18900,19178.6,19151.6,3138.364813,60189443.39,18286
1607212800,12/6/2020 0:00,BTC/USD,19153.1,19437,18857.8,19392.9,19178,2717.600653,52702157.71,17230
1607126400,12/5/2020 0:00,BTC/USD,18655,19179.3,18511,19153,18950.7,2374.367793,45476266.35,15943
1607040000,12/4/2020 0:00,BTC/USD,19440.7,19536.1,18561.6,18665.8,19024.7,5834.116981,108898460.7,31513
1606953600,12/3/2020 0:00,BTC/USD,19219.3,19600,18851.9,19451.3,19315.2,5045.728265,98145974.19,26550
1606867200,12/2/2020 0:00,BTC/USD,18777,19350,18347.1,19231.4,18909.4,6800.558534,130784261.4,33181
1606780800,12/1/2020 0:00,BTC/USD,19706.5,19947.5,18111,18782.9,19153.6,12790.05336,240234293.2,57759
1606694400,11/30/2020 0:00,BTC/USD,18195.6,19850,16660,19708.1,19134.8,13486.01803,265783791.9,60924
