unix,date,symbol,open,high,low,close,vwap,Volume BTC,Volume USD,tradecount
1608274800,2020-12-18 07:00:00,BTC/USD,22988.7,23064.6,22856.0,23055.7,22947.2,113.67000030,2620741.42591671,1027
1608271200,2020-12-18 06:00:00,BTC/USD,22950.6,23173.5,22887.8,22995.7,23059.4,161.19885152,3706880.429898464,1034
1608267600,2020-12-18 05:00:00,BTC/USD,22885.2,23044.8,22856.1,22950.5,22982.4,71.13018441,1632473.297301705,746
1608264000,2020-12-18 04:00:00,BTC/USD,22822.2,23010.3,22804.6,22878.6,22917.1,196.13078272,4487197.725537792,1047
1608260400,2020-12-18 03:00:00,BTC/USD,23031.2,23060.0,22789.0,22822.1,22915.1,208.52869809,4759062.800679789,1236
1608256800,2020-12-18 02:00:00,BTC/USD,23003.1,23317.1,22957.3,23017.3,23161.3,279.39838724,6430996.498619251,1456
1608253200,2020-12-18 01:00:00,BTC/USD,22770.3,23159.9,22626.8,23004.1,22992.4,469.95977789,10811001.726559348,2330
1608249600,2020-12-18 00:00:00,BTC/USD,22811.8,22844.0,22451.3,22770.3,22667.4,299.61739713,6822378.017869238,1693
1608246000,2020-12-17 23:00:00,BTC/USD,22982.6,23000.0,22557.3,22826.2,22778.7,391.31557706,8932247.625086972,2215
1608242400,2020-12-17 22:00:00,BTC/USD,22794.4,23070.0,22776.5,22994.4,22933.4,293.14750625,6740751.017715001,2080
1608238800,2020-12-17 21:00:00,BTC/USD,22799.9,22876.3,22444.1,22781.8,22631.2,760.36958043,17322587.707440175,3641
1608235200,2020-12-17 20:00:00,BTC/USD,22906.4,23089.8,22267.2,22799.9,22654.9,1059.30101452,24151957.200954553,5287
1608231600,2020-12-17 19:00:00,BTC/USD,23262.5,23500.0,22744.2,22902.6,23137.1,853.62922524,19550328.69398162,4318
1608228000,2020-12-17 18:00:00,BTC/USD,23023.5,23302.9,22326.7,23262.1,22876.1,1607.11910382,37384965.30497122,7527
1608224400,2020-12-17 17:00:00,BTC/USD,23623.3,23700.0,23001.0,23035.0,23480.4,789.28136311,18181096.19923885,4395
1608220800,2020-12-17 16:00:00,BTC/USD,23354.9,23697.9,23222.9,23623.4,23516.7,1230.14304095,29060161.113578234,6412
1608217200,2020-12-17 15:00:00,BTC/USD,23101.5,23389.9,22936.8,23357.7,23143.8,570.73491143,13331054.840708511,3376
1608213600,2020-12-17 14:00:00,BTC/USD,22833.8,23274.4,22733.0,23101.5,23071.8,662.86528114,15313182.292255709,3917
1608210000,2020-12-17 13:00:00,BTC/USD,23160.0,23350.0,22618.1,22811.8,23084.7,1091.82340869,24906457.23435454,5597
1608206400,2020-12-17 12:00:00,BTC/USD,22752.2,23183.1,22600.0,23160.0,22884.2,356.71802354,8261589.425186399,2427
1608202800,2020-12-17 11:00:00,BTC/USD,22613.1,22815.6,22520.0,22752.1,22667.0,524.15221251,11925563.55424877,3052
1608199200,2020-12-17 10:00:00,BTC/USD,22647.2,22938.9,22410.0,22615.9,22654.7,781.31624717,17670170.114372004,4389
1608195600,2020-12-17 09:00:00,BTC/USD,22910.5,23751.0,22200.0,22648.5,23048.0,2522.02882401,57120169.82059048,13022
1608192000,2020-12-17 08:00:00,BTC/USD,22480.0,22980.1,22431.0,22910.9,22735.4,1005.11242142,23028030.17591148,5025
1608188400,2020-12-17 07:00:00,BTC/USD,22181.8,22480.0,22109.4,22480.0,22305.1,733.63500364,16492114.881827202,2726
1608184800,2020-12-17 06:00:00,BTC/USD,22296.1,22398.6,22048.2,22181.5,22178.7,513.48902204,11389956.74238026,2686
1608181200,2020-12-17 05:00:00,BTC/USD,21802.4,22317.0,21801.5,22297.1,22081.7,361.32057695,8056401.036311844,2253
1608177600,2020-12-17 04:00:00,BTC/USD,21757.7,21913.5,21736.2,21800.0,21840.8,143.97192110,3138587.87998,1212
1608174000,2020-12-17 03:00:00,BTC/USD,21936.6,22176.9,21708.7,21758.1,21947.5,1093.30887831,23788323.90515681,4795
1608170400,2020-12-17 02:00:00,BTC/USD,21746.6,22000.0,21660.7,21936.6,21867.0,615.41533646,13500120.069788435,3428
1608166800,2020-12-17 01:00:00,BTC/USD,21408.5,21884.4,21408.5,21746.6,21703.4,712.99016228,15505111.863038247,3954
1608163200,2020-12-17 00:00:00,BTC/USD,21361.7,21411.3,21264.4,21408.5,21329.3,320.25317263,6856140.046249355,2336
1608159600,2020-12-16 23:00:00,BTC/USD,21401.4,21577.4,21235.0,21378.1,21378.8,518.33731100,11081066.8682891,3133
1608156000,2020-12-16 22:00:00,BTC/USD,21211.3,21457.0,21211.0,21401.3,21333.0,850.61137485,18204189.216577303,5140
1608152400,2020-12-16 21:00:00,BTC/USD,20822.0,21310.3,20731.4,21211.2,21021.5,942.57318738,19993108.392154656,4405
1608148800,2020-12-16 20:00:00,BTC/USD,20765.0,20860.0,20745.2,20822.1,20811.5,444.15446115,9248228.605511414,2558
1608145200,2020-12-16 19:00:00,BTC/USD,20610.0,20795.3,20551.5,20765.0,20657.9,314.34407425,6527354.70180125,1813
1608141600,2020-12-16 18:00:00,BTC/USD,20663.8,20766.9,20559.9,20608.9,20659.2,331.03486936,6822264.519153304,1835
1608138000,2020-12-16 17:00:00,BTC/USD,20893.8,20900.0,20608.7,20663.8,20727.7,658.91956941,13615782.198374357,3056
1608134400,2020-12-16 16:00:00,BTC/USD,20690.0,20897.3,20670.5,20889.6,20782.6,800.61808161,16724591.477600254,3244
1608130800,2020-12-16 15:00:00,BTC/USD,20719.0,20764.9,20581.6,20679.9,20672.2,782.71557846,16186479.890994955,2971
1608127200,2020-12-16 14:00:00,BTC/USD,20342.8,20836.7,20230.0,20716.2,20566.7,2046.13808841,42388205.867119245,8818
1608123600,2020-12-16 13:00:00,BTC/USD,19776.5,20457.2,19776.4,20359.9,20127.9,1593.78583371,32449320.19575223,7024
1608120000,2020-12-16 12:00:00,BTC/USD,19748.9,19888.0,19685.5,19776.4,19804.6,397.27048156,7856579.951523185,1901
1608116400,2020-12-16 11:00:00,BTC/USD,19796.7,19880.0,19653.1,19744.7,19752.7,414.09129214,8176108.335916659,1912
1608112800,2020-12-16 10:00:00,BTC/USD,19515.0,19800.0,19513.8,19796.7,19666.8,688.01789805,13620483.922326434,3133
1608109200,2020-12-16 09:00:00,BTC/USD,19480.0,19515.0,19433.9,19515.0,19473.2,97.04438600,1893821.19279,657
1608105600,2020-12-16 08:00:00,BTC/USD,19431.3,19480.0,19391.5,19480.0,19421.3,124.00784969,2415672.9119612,745
1608102000,2020-12-16 07:00:00,BTC/USD,19440.5,19459.0,19420.0,19431.4,19437.8,79.62917836,1547306.4163845042,421
1608098400,2020-12-16 06:00:00,BTC/USD,19380.5,19464.9,19361.6,19442.5,19436.2,84.27148904,1638448.4256602002,539
1608094800,2020-12-16 05:00:00,BTC/USD,19375.4,19424.9,19351.3,19383.7,19393.2,43.91840248,851301.1381515759,686
1608091200,2020-12-16 04:00:00,BTC/USD,19357.5,19401.7,19325.0,19375.5,19361.1,51.82513376,1004137.87916688,586
1608087600,2020-12-16 03:00:00,BTC/USD,19457.2,19470.0,19341.6,19362.2,19386.0,87.52221684,1694622.666899448,673
1608084000,2020-12-16 02:00:00,BTC/USD,19399.3,19500.0,19399.3,19456.8,19451.6,140.96520096,2742731.722038528,1000
1608080400,2020-12-16 01:00:00,BTC/USD,19379.9,19425.6,19331.5,19399.4,19391.3,172.83232276,3352843.3621503445,843
1608076800,2020-12-16 00:00:00,BTC/USD,19439.5,19453.5,19302.4,19373.5,19358.3,179.05051613,3468835.174244555,1145
1608073200,2020-12-15 23:00:00,BTC/USD,19473.7,19479.7,19366.5,19439.7,19434.8,135.63457738,2636695.493893986,992
1608069600,2020-12-15 22:00:00,BTC/USD,19425.6,19493.3,19370.0,19473.8,19433.8,215.76154357,4201697.147173465,880
1608066000,2020-12-15 21:00:00,BTC/USD,19510.1,19520.2,19360.3,19425.6,19439.5,311.29097535,6047013.97075896,1475
1608062400,2020-12-15 20:00:00,BTC/USD,19543.3,19551.0,19477.1,19510.0,19514.3,174.45188711,3403556.3175161,1038
1608058800,2020-12-15 19:00:00,BTC/USD,19532.1,19547.7,19477.0,19543.4,19510.8,239.76698413,4685862.077646242,1165
1608055200,2020-12-15 18:00:00,BTC/USD,19406.1,19549.9,19404.9,19532.2,19477.0,468.92411381,9159119.575759683,1706
1608051600,2020-12-15 17:00:00,BTC/USD,19364.9,19427.8,19364.8,19407.4,19404.9,167.20043732,3244925.767244168,843
1608048000,2020-12-15 16:00:00,BTC/USD,19414.2,19435.0,19344.1,19364.8,19383.6,195.83817762,3792367.141975776,956
1608044400,2020-12-15 15:00:00,BTC/USD,19347.5,19437.6,19344.1,19416.4,19395.0,320.84030009,6229563.602667477,1374
1608040800,2020-12-15 14:00:00,BTC/USD,19337.8,19447.4,19207.6,19347.6,19345.9,352.50172771,6820062.427041995,1446
1608037200,2020-12-15 13:00:00,BTC/USD,19291.0,19343.0,19264.5,19337.0,19306.6,130.91227661,2531450.6928075696,774
1608033600,2020-12-15 12:00:00,BTC/USD,19300.0,19380.6,19278.6,19296.4,19333.9,116.88595628,2255478.1667613923,735
1608030000,2020-12-15 11:00:00,BTC/USD,19321.2,19338.6,19243.5,19303.6,19279.1,168.00889244,3243176.456104784,743
1608026400,2020-12-15 10:00:00,BTC/USD,19202.0,19362.2,19125.3,19321.1,19253.7,241.55769483,4667160.377579913,998
1608022800,2020-12-15 09:00:00,BTC/USD,19149.7,19211.0,19075.0,19202.1,19149.5,127.31678869,2444749.7081042486,736
1608019200,2020-12-15 08:00:00,BTC/USD,19200.6,19218.7,19113.6,19149.7,19165.5,122.26944394,2341423.170617818,609
1608015600,2020-12-15 07:00:00,BTC/USD,19200.1,19219.0,19160.1,19200.6,19188.5,64.51745349,1238773.8174800938,728
1608012000,2020-12-15 06:00:00,BTC/USD,19130.3,19200.1,19101.0,19200.1,19173.5,104.95428109,2015132.6923561087,812
